"","region","Incidence_rate","Mortality_rate","avg_phy_rate_categorical_5","avg_dom_spend_categorical_6","avg_gdp_categorical_4","Operational_Policy"
"145","Saint Kitts and Nevis",NA,NA,"2-3","5-10","5-10","No"
"146","Saint Lucia",242,120.5,"0-1","5-10","5-10","Yes"
"147","Saint Vincent & Grenadines",NA,NA,NA,"5-10","0-5","Yes"
"148","Samoa",197.8,102.9,"0-1","10-15","5-10","Yes"
"149","San Marino",NA,NA,NA,"25+","5-10","Yes"
"150","Sao Tome and Principe",63.3,39.5,"0-1","5-10","5-10","No"
"151","Saudi Arabia",78.4,37.4,"2-3","10-15","5-10","Yes"
"152","Senegal",67.1,46.1,"0-1","5-10","0-5","Yes"
"153","Serbia",485.8,276,"3-4","10-15","5-10","Yes"
"154","Seychelles",NA,NA,"2-3","10-15","5-10","Yes"
"155","Sierra Leone",23.1,16.1,"0-1","5-10","10-15","Yes"
"156","Singapore",424.8,223.4,"2-3","10-15","0-5","No"
"157","Slovakia",566.2,277.8,"4+","10-15","5-10","Yes"
"158","Slovenia",693.1,332,"3-4","10-15","5-10","Yes"
"159","Solomon Islands",94.9,50.6,"0-1","5-10","0-5","Yes"
"160","South Africa",183.2,106.2,"0-1","15-20","5-10","Yes"
"161","South Korea",463.1,190.2,"2-3","10-15","5-10","Yes"
"162","South Sudan",59.2,43.7,"0-1","0-5","5-10","Yes"
"163","Spain",596.6,247.4,"4+","15-20","5-10","Yes"
"164","Sri Lanka",154.1,88.7,"1-2","5-10","0-5","Yes"
"165","Sudan",62.2,40.2,"0-1","5-10","0-5","No"
"166","Suriname",187.5,104.9,"0-1","10-15","5-10","Yes"
"167","Sweden",677.8,250.2,"4+","15-20","10-15","Yes"
"168","Switzerland",664.8,221.3,"4+","10-15","10-15","No"
"169","Syria",113.2,71.5,"1-2",NA,NA,"No"
"170","Tajikistan",65,42.4,NA,"5-10","5-10","Yes"
"171","Tanzania",71,47,"0-1","5-10","0-5","Yes"
"172","Thailand",261.9,169.6,"0-1","10-15","0-5","Yes"
"173","The Netherlands",768.8,289.3,"3-4","15-20","10-15","No"
"174","Timor-Leste",60.5,37.8,"0-1","0-5","5-10","Yes"
"175","Togo",63.3,41.5,"0-1","5-10","5-10","Yes"
"176","Tonga",NA,NA,"1-2","5-10","0-5","No"
"177","Trinidad and Tobago",279.5,157.9,"3-4","5-10","5-10","Yes"
"178","Tunisia",170.6,104.4,"1-2","10-15","5-10","Yes"
"179","Turkmenistan",109.8,71.9,NA,"5-10","5-10","Yes"
"180","Tuvalu",NA,NA,"1-2","10-15","15+","No"
"181","Türkiye",280.5,151.6,"1-2","5-10","0-5","Yes"
"182","Uganda",74.3,50.9,"0-1","0-5","0-5","Yes"
"183","Ukraine",359.4,194.8,NA,"5-10","5-10","Yes"
"184","United Arab Emirates",54.8,22.6,"2-3","5-10","0-5","Yes"
